col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,col-26,col-27,col-28,col-29,col-30,col-31,col-32,col-33,col-34,col-35,col-36,col-37,col-38,col-39,col-40,col-41,col-42,target,index_y,middle_y,ring_y,pinky_y,thumb_y,thumb_x
0,0,-53,-30,-84,-87,-83,-138,-79,-174,-39,-156,-41,-216,-40,-254,-38,-287,-5,-157,-8,-224,-8,-266,-7,-302,26,-146,24,-210,25,-251,24,-286,59,-123,59,-174,57,-207,52,-239,stop,1.8397435897435896,1.9235668789808917,1.9589041095890412,1.943089430894309,0.5,1.0632911392405062
0,0,-51,-24,-81,-75,-82,-122,-80,-153,-42,-140,-45,-194,-43,-229,-42,-259,-10,-143,-16,-204,-17,-243,-16,-276,18,-136,12,-193,10,-230,8,-262,47,-118,44,-164,40,-193,36,-221,stop,1.85,1.93006993006993,1.9264705882352942,1.8728813559322033,0.49019607843137253,1.0125
0,0,32,-11,53,-42,56,-70,53,-83,40,-77,46,-109,50,-128,53,-145,24,-80,32,-114,37,-136,41,-157,8,-77,16,-109,21,-131,27,-150,-10,-68,-4,-93,0,-110,4,-127,stop,1.8831168831168832,1.9625,1.948051948051948,1.8676470588235294,0.5060240963855421,1.0
0,0,41,-12,65,-55,70,-93,72,-122,49,-104,57,-153,60,-183,62,-211,26,-107,35,-159,40,-192,45,-222,4,-101,12,-150,18,-182,23,-209,-20,-87,-15,-125,-10,-151,-5,-176,stop,2.0288461538461537,2.074766355140187,2.0693069306930694,2.0229885057471266,0.45081967213114754,0.9027777777777778
0,0,54,-21,95,-74,107,-124,102,-166,62,-147,70,-210,73,-249,74,-284,30,-150,39,-217,46,-261,51,-302,-1,-141,8,-203,18,-245,25,-282,-34,-121,-28,-171,-20,-204,-13,-236,stop,1.9319727891156462,2.013333333333333,2.0,1.9504132231404958,0.4457831325301205,0.9313725490196079
0,0,28,-16,45,-45,48,-72,44,-90,26,-81,28,-112,29,-130,31,-146,10,-82,14,-116,16,-138,18,-157,-5,-77,-2,-110,2,-131,6,-149,-21,-67,-19,-93,-17,-109,-14,-125,stop,1.8024691358024691,1.9146341463414633,1.9350649350649352,1.8656716417910448,0.5,1.0227272727272727
0,0,30,-14,47,-45,49,-74,45,-94,26,-82,27,-117,29,-138,29,-157,7,-84,10,-121,13,-146,15,-167,-10,-79,-7,-114,-3,-137,0,-157,-27,-68,-26,-95,-25,-114,-23,-132,stop,1.9146341463414633,1.9880952380952381,1.9873417721518987,1.9411764705882353,0.4787234042553192,1.0444444444444445
0,0,39,-19,63,-65,66,-107,65,-136,40,-119,45,-167,48,-198,47,-227,16,-121,23,-174,27,-210,30,-241,-8,-114,-1,-163,3,-197,6,-226,-32,-98,-29,-137,-26,-163,-23,-189,stop,1.9075630252100841,1.9917355371900827,1.9824561403508771,1.9285714285714286,0.47794117647058826,0.9692307692307692
0,0,53,-22,87,-78,97,-127,103,-166,67,-145,80,-208,88,-247,91,-283,41,-147,53,-214,62,-260,68,-302,13,-137,24,-200,31,-242,37,-281,-18,-116,-13,-165,-7,-199,1,-233,stop,1.9517241379310344,2.054421768707483,2.051094890510949,2.0086206896551726,0.46987951807228917,0.8446601941747572
0,0,53,-21,87,-78,96,-128,103,-166,69,-144,81,-207,88,-248,89,-286,41,-146,54,-214,63,-260,67,-303,13,-136,24,-200,30,-241,35,-280,-18,-116,-14,-164,-8,-197,-1,-230,stop,1.9861111111111112,2.0753424657534247,2.0588235294117645,1.9827586206896552,0.46987951807228917,0.8446601941747572
0,0,53,-22,88,-79,97,-129,96,-164,69,-144,79,-206,85,-244,87,-281,41,-146,53,-212,61,-257,65,-298,13,-136,24,-198,31,-240,37,-277,-18,-117,-13,-165,-6,-197,1,-230,stop,1.9513888888888888,2.041095890410959,2.036764705882353,1.9658119658119657,0.4817073170731707,0.9166666666666666
0,0,31,-14,51,-46,52,-75,50,-88,37,-84,40,-117,43,-136,46,-153,20,-87,26,-122,30,-146,34,-166,3,-84,10,-118,15,-140,19,-160,-15,-74,-11,-101,-8,-118,-4,-136,stop,1.8214285714285714,1.9080459770114941,1.9047619047619047,1.837837837837838,0.5227272727272727,1.02
0,0,25,-9,43,-33,47,-56,45,-72,30,-65,34,-92,36,-109,38,-123,15,-69,21,-98,25,-118,29,-135,1,-67,7,-95,12,-113,16,-129,-14,-60,-10,-83,-7,-97,-3,-111,stop,1.8923076923076922,1.9565217391304348,1.9253731343283582,1.85,0.4583333333333333,0.9555555555555556
0,0,45,-15,72,-61,77,-104,74,-136,48,-119,53,-175,57,-209,59,-241,22,-121,29,-180,34,-220,39,-256,-3,-112,4,-168,10,-204,15,-238,-30,-95,-26,-138,-22,-167,-18,-196,stop,2.0252100840336134,2.115702479338843,2.125,2.0631578947368423,0.4485294117647059,0.972972972972973
0,0,54,-24,88,-81,94,-132,90,-170,60,-149,68,-213,73,-253,75,-290,30,-150,39,-219,46,-264,50,-306,1,-139,10,-203,16,-245,20,-283,-30,-118,-25,-168,-19,-201,-12,-233,stop,1.9463087248322148,2.04,2.035971223021583,1.9745762711864407,0.4764705882352941,0.9777777777777777
0,0,-21,-9,-34,-28,-37,-47,-40,-61,-26,-59,-31,-82,-34,-96,-35,-109,-14,-61,-20,-86,-23,-103,-25,-118,-1,-59,-6,-83,-10,-99,-12,-113,12,-51,8,-70,5,-82,1,-94,stop,1.847457627118644,1.9344262295081966,1.9152542372881356,1.8431372549019607,0.45901639344262296,0.85
0,0,-32,-11,-50,-42,-51,-72,-50,-93,-29,-84,-33,-120,-35,-142,-35,-161,-10,-87,-15,-126,-17,-151,-18,-172,9,-83,4,-120,2,-144,0,-163,28,-72,25,-101,23,-120,20,-137,stop,1.9166666666666667,1.9770114942528736,1.963855421686747,1.9027777777777777,0.45161290322580644,1.0
0,0,-44,-18,-67,-65,-70,-105,-77,-135,-53,-122,-60,-172,-64,-204,-67,-232,-29,-124,-38,-180,-46,-217,-49,-250,-5,-117,-13,-170,-20,-206,-25,-238,23,-100,18,-141,11,-169,4,-198,stop,1.901639344262295,2.0161290322580645,2.034188034188034,1.98,0.48148148148148145,0.8701298701298701
0,0,-44,-19,-66,-65,-67,-105,-74,-130,-48,-121,-52,-169,-53,-199,-53,-225,-23,-124,-30,-177,-33,-210,-34,-240,1,-117,-5,-168,-10,-200,-12,-228,28,-101,24,-140,20,-164,16,-190,stop,1.859504132231405,1.935483870967742,1.9487179487179487,1.881188118811881,0.5,0.8918918918918919
